Guizhou_dianxin-组播,#genre#
贵阳-3,http://219.141.45.104:8188/rtp/238.255.2.22:5999
六盘水-1,http://219.141.45.104:8188/rtp/238.255.2.115:5999
六盘水-2,http://219.141.45.104:8188/rtp/238.255.2.116:5999
黔南-1,http://219.141.45.104:8188/rtp/238.255.2.150:5999
黔南-2,http://219.141.45.104:8188/rtp/238.255.2.151:5999
黔西南综合,http://219.141.45.104:8188/rtp/238.255.2.126:5999
黔西南公共,http://219.141.45.104:8188/rtp/238.255.2.127:5999
黔东南综合,http://219.141.45.104:8188/rtp/238.255.2.179:5999
遵义综合,http://219.141.45.104:8188/rtp/238.255.2.153:5999
遵义公共,http://219.141.45.104:8188/rtp/238.255.2.152:5999
遵义都市,http://219.141.45.104:8188/rtp/238.255.2.154:5999
铜仁-1,http://219.141.45.104:8188/rtp/238.255.2.31:5999
铜仁-2,http://219.141.45.104:8188/rtp/238.255.2.87:5999
毕节-1,http://219.141.45.104:8188/rtp/238.255.2.131:5999
毕节-2,http://219.141.45.104:8188/rtp/238.255.2.132:5999
安顺新闻综合,http://219.141.45.104:8188/rtp/238.255.2.157:5999
安顺公共,http://219.141.45.104:8188/rtp/238.255.2.158:5999
瓮安电视台,http://219.141.45.104:8188/rtp/238.255.2.216:5999
凯里TV,http://219.141.45.104:8188/rtp/238.255.2.180:5999
雷山综合,http://219.141.45.104:8188/rtp/238.255.2.128:5999
贵州-2,http://219.141.45.124:8188/rtp/238.255.2.2:5999
贵州-3,http://219.141.45.124:8188/rtp/238.255.2.3:5999
贵州-4,http://219.141.45.124:8188/rtp/238.255.2.4:5999
贵州-5,http://219.141.45.124:8188/rtp/238.255.2.5:5999
贵州-6,http://219.141.45.124:8188/rtp/238.255.2.6:5999
贵州-7,http://219.141.45.124:8188/rtp/238.255.2.9:5999
贵阳-1,http://219.141.45.124:8188/rtp/238.255.2.19:5999
贵阳-2,http://219.141.45.124:8188/rtp/238.255.2.20:5999
贵阳-3,http://219.141.45.124:8188/rtp/238.255.2.22:5999
六盘水-1,http://219.141.45.124:8188/rtp/238.255.2.115:5999
六盘水-2,http://219.141.45.124:8188/rtp/238.255.2.116:5999
黔南-1,http://219.141.45.124:8188/rtp/238.255.2.150:5999
黔南-2,http://219.141.45.124:8188/rtp/238.255.2.151:5999
黔西南综合,http://219.141.45.124:8188/rtp/238.255.2.126:5999
黔西南公共,http://219.141.45.124:8188/rtp/238.255.2.127:5999
黔东南综合,http://219.141.45.124:8188/rtp/238.255.2.179:5999
遵义综合,http://219.141.45.124:8188/rtp/238.255.2.153:5999
遵义公共,http://219.141.45.124:8188/rtp/238.255.2.152:5999
遵义都市,http://219.141.45.124:8188/rtp/238.255.2.154:5999
铜仁-1,http://219.141.45.124:8188/rtp/238.255.2.31:5999
铜仁-2,http://219.141.45.124:8188/rtp/238.255.2.87:5999
毕节-1,http://219.141.45.124:8188/rtp/238.255.2.131:5999
毕节-2,http://219.141.45.124:8188/rtp/238.255.2.132:5999
安顺新闻综合,http://219.141.45.124:8188/rtp/238.255.2.157:5999
安顺公共,http://219.141.45.124:8188/rtp/238.255.2.158:5999
瓮安电视台,http://219.141.45.124:8188/rtp/238.255.2.216:5999
凯里TV,http://219.141.45.124:8188/rtp/238.255.2.180:5999
雷山综合,http://219.141.45.124:8188/rtp/238.255.2.128:5999
贵州-2,http://219.141.45.64:8188/rtp/238.255.2.2:5999
贵州-3,http://219.141.45.64:8188/rtp/238.255.2.3:5999
贵州-4,http://219.141.45.64:8188/rtp/238.255.2.4:5999
贵州-5,http://219.141.45.64:8188/rtp/238.255.2.5:5999
贵州-6,http://219.141.45.64:8188/rtp/238.255.2.6:5999
贵州-7,http://219.141.45.64:8188/rtp/238.255.2.9:5999
贵阳-1,http://219.141.45.64:8188/rtp/238.255.2.19:5999
贵阳-2,http://219.141.45.64:8188/rtp/238.255.2.20:5999
贵阳-3,http://219.141.45.64:8188/rtp/238.255.2.22:5999
六盘水-1,http://219.141.45.64:8188/rtp/238.255.2.115:5999
六盘水-2,http://219.141.45.64:8188/rtp/238.255.2.116:5999
黔南-1,http://219.141.45.64:8188/rtp/238.255.2.150:5999
黔南-2,http://219.141.45.64:8188/rtp/238.255.2.151:5999
黔西南综合,http://219.141.45.64:8188/rtp/238.255.2.126:5999
黔西南公共,http://219.141.45.64:8188/rtp/238.255.2.127:5999
黔东南综合,http://219.141.45.64:8188/rtp/238.255.2.179:5999
遵义综合,http://219.141.45.64:8188/rtp/238.255.2.153:5999
遵义公共,http://219.141.45.64:8188/rtp/238.255.2.152:5999
遵义都市,http://219.141.45.64:8188/rtp/238.255.2.154:5999
铜仁-1,http://219.141.45.64:8188/rtp/238.255.2.31:5999
铜仁-2,http://219.141.45.64:8188/rtp/238.255.2.87:5999
毕节-1,http://219.141.45.64:8188/rtp/238.255.2.131:5999
毕节-2,http://219.141.45.64:8188/rtp/238.255.2.132:5999
安顺新闻综合,http://219.141.45.64:8188/rtp/238.255.2.157:5999
安顺公共,http://219.141.45.64:8188/rtp/238.255.2.158:5999
瓮安电视台,http://219.141.45.64:8188/rtp/238.255.2.216:5999
凯里TV,http://219.141.45.64:8188/rtp/238.255.2.180:5999
雷山综合,http://219.141.45.64:8188/rtp/238.255.2.128:5999
贵州-2,http://61.159.134.106:4022/rtp/238.255.2.2:5999
贵州-3,http://61.159.134.106:4022/rtp/238.255.2.3:5999
贵州-4,http://61.159.134.106:4022/rtp/238.255.2.4:5999
贵州-5,http://61.159.134.106:4022/rtp/238.255.2.5:5999
贵州-6,http://61.159.134.106:4022/rtp/238.255.2.6:5999
贵州-7,http://61.159.134.106:4022/rtp/238.255.2.9:5999
贵阳-1,http://61.159.134.106:4022/rtp/238.255.2.19:5999
贵阳-2,http://61.159.134.106:4022/rtp/238.255.2.20:5999
贵阳-3,http://61.159.134.106:4022/rtp/238.255.2.22:5999
六盘水-1,http://61.159.134.106:4022/rtp/238.255.2.115:5999
六盘水-2,http://61.159.134.106:4022/rtp/238.255.2.116:5999
黔南-1,http://61.159.134.106:4022/rtp/238.255.2.150:5999
黔南-2,http://61.159.134.106:4022/rtp/238.255.2.151:5999
黔西南综合,http://61.159.134.106:4022/rtp/238.255.2.126:5999
黔西南公共,http://61.159.134.106:4022/rtp/238.255.2.127:5999
黔东南综合,http://61.159.134.106:4022/rtp/238.255.2.179:5999
遵义综合,http://61.159.134.106:4022/rtp/238.255.2.153:5999
遵义公共,http://61.159.134.106:4022/rtp/238.255.2.152:5999
遵义都市,http://61.159.134.106:4022/rtp/238.255.2.154:5999
铜仁-1,http://61.159.134.106:4022/rtp/238.255.2.31:5999
铜仁-2,http://61.159.134.106:4022/rtp/238.255.2.87:5999
毕节-1,http://61.159.134.106:4022/rtp/238.255.2.131:5999
毕节-2,http://61.159.134.106:4022/rtp/238.255.2.132:5999
安顺新闻综合,http://61.159.134.106:4022/rtp/238.255.2.157:5999
安顺公共,http://61.159.134.106:4022/rtp/238.255.2.158:5999
瓮安电视台,http://61.159.134.106:4022/rtp/238.255.2.216:5999
凯里TV,http://61.159.134.106:4022/rtp/238.255.2.180:5999
雷山综合,http://61.159.134.106:4022/rtp/238.255.2.128:5999
贵州-2,http://61.159.135.101:4022/rtp/238.255.2.2:5999
贵州-3,http://61.159.135.101:4022/rtp/238.255.2.3:5999
贵州-4,http://61.159.135.101:4022/rtp/238.255.2.4:5999
贵州-5,http://61.159.135.101:4022/rtp/238.255.2.5:5999
贵州-6,http://61.159.135.101:4022/rtp/238.255.2.6:5999
贵州-7,http://61.159.135.101:4022/rtp/238.255.2.9:5999
贵阳-1,http://61.159.135.101:4022/rtp/238.255.2.19:5999
贵阳-2,http://61.159.135.101:4022/rtp/238.255.2.20:5999
贵阳-3,http://61.159.135.101:4022/rtp/238.255.2.22:5999
六盘水-1,http://61.159.135.101:4022/rtp/238.255.2.115:5999
六盘水-2,http://61.159.135.101:4022/rtp/238.255.2.116:5999
黔南-1,http://61.159.135.101:4022/rtp/238.255.2.150:5999
黔南-2,http://61.159.135.101:4022/rtp/238.255.2.151:5999
黔西南综合,http://61.159.135.101:4022/rtp/238.255.2.126:5999
黔西南公共,http://61.159.135.101:4022/rtp/238.255.2.127:5999
黔东南综合,http://61.159.135.101:4022/rtp/238.255.2.179:5999
遵义综合,http://61.159.135.101:4022/rtp/238.255.2.153:5999
遵义公共,http://61.159.135.101:4022/rtp/238.255.2.152:5999
遵义都市,http://61.159.135.101:4022/rtp/238.255.2.154:5999
铜仁-1,http://61.159.135.101:4022/rtp/238.255.2.31:5999
铜仁-2,http://61.159.135.101:4022/rtp/238.255.2.87:5999
毕节-1,http://61.159.135.101:4022/rtp/238.255.2.131:5999
毕节-2,http://61.159.135.101:4022/rtp/238.255.2.132:5999
安顺新闻综合,http://61.159.135.101:4022/rtp/238.255.2.157:5999
安顺公共,http://61.159.135.101:4022/rtp/238.255.2.158:5999
瓮安电视台,http://61.159.135.101:4022/rtp/238.255.2.216:5999
凯里TV,http://61.159.135.101:4022/rtp/238.255.2.180:5999
雷山综合,http://61.159.135.101:4022/rtp/238.255.2.128:5999
